ID,MessageName,Message
CA1027,Default,"The constituent members of {0} appear to represent flags that can be combined rather than discrete values. If this is correct, mark the enumeration with FlagsAttribute."
CA1028,NotInt32,"If possible, make the underlying type of {0} System.Int32 instead of {1}."
CA1028,NotIntegral,"If possible, make the underlying type of {0} Int32 instead of {1}. Otherwise consider Byte, Int16, or Int64."
CA1030,Default,Consider making {0} an event.
CA1031,Default,Modify {0} to catch a more specific exception than {1} or rethrow the exception.
CA1032,MissingConstructor,Add the following constructor to {0}: {1}.
CA1032,Accessibility,Change the accessibility of {0} to {1}.
CA1033,Default,"Make {0} sealed (a breaking change if this class has previously shipped), implement the method non-explicitly, or implement a new method that exposes the functionality of {1} and is visible to derived classes."
CA1034,Default,"Do not nest type {0}. Alternatively, change its accessibility so that it is not externally visible."
CA1034,VisualBasicModule,"Do not nest type {0}. Alternatively, change its accessibility so that it is not externally visible. If this type is defined in a Visual Basic Module, it will be considered a nested type to other .NET languages. In that case, consider moving the type outside of the Module."
CA1035,Default,{0} should provide a strongly typed implementation of ICollection.CopyTo.
CA1036,Equals,{0} should override Equals since it implements IComparable.
CA1036,Operator,{0} should define operator '{1}' since it implements IComparable.
CA1038,Default,{0} should provide a strongly typed implementation of IEnumerator.Current.
CA1039,Default,{0} should provide a strongly typed implementation of {1}.
CA1040,Default,Define a custom attribute to replace {0}.
CA1041,Default,Provide a message for the ObsoleteAttribute that marks {0}.
CA1043,Default,Use an integral value or string as the parameter to indexer {0}.
CA1044,AddGetter,"Because property {0} is write-only, either add a property getter with an accessibility that is greater than or equal to its setter or convert this property into a method."
CA1044,MakeMoreAccessible,"Because the property getter for {0} is less visible than its setter, either increase the accessibility of its getter or decrease the accessibility of its setter."
CA1045,Default,Consider a design that does not require that {0} be a reference parameter.
CA1046,Default,{0} should not overload the equality operator.
CA1047,Type,"Make type {0} private, public, or internal (Friend in Visual Basic)."
CA1047,Member,"Make member {0} private, public, or internal (Friend in Visual Basic)."
CA1048,Default,"'{0}' is a virtual member declared in a sealed type. Mark the member non-virtual or, if the type should be extensible, unseal it."
CA1049,Default,Implement IDisposable on {0}.
CA1050,Default,{0} should be declared inside a namespace.
CA1051,Default,"Because field {0} is visible outside of its declaring type, change its accessibility to private and add a property, with the same accessibility as the field has currently, to provide access to it."
CA1052,Default,"Because type {0} contains only 'static' ('Shared' in Visual Basic) members, mark it as 'sealed' ('NotInheritable' in Visual Basic) to prevent consumers from inheriting from it."
CA1052,CSharp2_0,"Because type {0} contains only 'static' members, mark it as 'static' to prevent consumers from inheriting from it."
CA1053,Default,"Because type {0} contains only 'static' ('Shared' in Visual Basic) members, add a default private constructor to prevent the compiler from adding a default public constructor."
CA1053,CSharp2_0,"Because type {0} contains only 'static' members, mark it as 'static' to prevent the compiler from adding a default public constructor."
CA1054,Default,"Change the type of parameter {0} of method {1} from string to System.Uri, or provide an overload of {1}, that allows {0} to be passed as a System.Uri object."
CA1055,Default,Change the return type of {0} from string to System.Uri.
CA1056,Default,Change the type of property {0} from string to System.Uri.
CA1057,Default,"Refactor {0} so that it builds a System.Uri object from {1}, and then calls {2}."
CA1058,System.Xml.XmlDocument,Change the base type of {0} so that it no longer extends {1}. The preferred design is to decouple the underlying XmlDocument representation from the type's interface by using containment instead of inheritance.
CA1058,System.ApplicationException,Change the base type of {0} so that it no longer extends {1}. This base exception type does not provide any additional value for framework classes. Extend 'System.Exception' or an existing unsealed exception type instead. Do not create a new exception base type unless there is specific value in enabling the creation of a catch handler for an entire class of exceptions.
CA1058,System.Collections.CollectionBase,Change the base type of {0} from {1} to its generic equivalent 'System.Collections.ObjectModel.Collection'.
CA1058,System.Collections.DictionaryBase,Change the base type of {0} from {1} to its generic equivalent 'System.Collections.ObjectModel.KeyedCollection'.
CA1058,System.Collections.Queue,Change the base type of {0} from {1} to its generic equivalent 'System.Collections.Generic.Queue'.
CA1058,System.Collections.ReadOnlyCollectionBase,Change the base type of {0} from {1} to its generic equivalent 'System.Collections.ObjectModel.ReadOnlyCollection'.
CA1058,System.Collections.SortedList,Change the base type of {0} from {1} to its generic equivalent 'System.Collections.Generic.SortedList'.
CA1058,System.Collections.Stack,Change the base type of {0} from {1} to its generic equivalent 'System.Collections.Generic.Stack'.
CA1059,Xml,Modify member {0} so that it no longer exposes the concrete type {1}. Use IXPathNavigable to represent XML data sources.
CA1060,Default,"Because it is a P/Invoke method, {0} should be defined in a class named NativeMethods, SafeNativeMethods, or UnsafeNativeMethods."
CA1061,Default,Change or remove {0} because it hides a more specific base class method: {1}.
CA1063,IDisposableReimplementation,Remove IDisposable from the list of interfaces implemented by {0} and override the base class Dispose implementation instead.
CA1063,FinalizeOverride,"Remove the finalizer from type {0}, override Dispose(bool disposing), and put the finalization logic in the code path where 'disposing' is false."
CA1063,DisposeOverride,"Remove {0}, override Dispose(bool disposing), and put the dispose logic in the code path where 'disposing' is true."
CA1063,DisposeSignature,Ensure that {0} is declared as public and sealed.
CA1063,RenameDispose,Rename {0} to 'Dispose' and ensure that it is declared as public and sealed.
CA1063,DisposeBoolSignature,"Ensure that {0} is declared as protected, virtual, and unsealed."
CA1063,DisposeImplementation,"Modify {0} so that it calls Dispose(true), then calls GC.SuppressFinalize on the current object instance ('this' or 'Me' in Visual Basic), and then returns."
CA1063,FinalizeImplementation,Modify {0} so that it calls Dispose(false) and then returns.
CA1063,ProvideDisposeBool,Provide an overridable implementation of Dispose(bool) on {0} or mark the type as sealed. A call to Dispose(false) should only clean up native resources. A call to Dispose(true) should clean up both managed and native resources.
CA1064,Default,Make exception class {0} public.
CA1065,PropertyGetter,"{0} creates an exception of type {1}, an exception type that should not be raised in a property. If this exception instance might be raised, use a different exception type, convert this property into a method, or change this property's logic so that it no longer raises an exception."
CA1065,HasAllowedExceptions,"{0} creates an exception of type {1}, an exception type that should not be raised in this type of method. If this exception instance might be raised, either use a different exception type or change this method's logic so that it no longer raises an exception."
CA1065,NoAllowedExceptions,"{0} creates an exception of type {1}. Exceptions should not be raised in this type of method. If this exception instance might be raised, change this method's logic so it no longer raises an exception."
CA1300,Default,"Change {0} to call the MessageBox.Show overload that specifies MessageBoxOptions, and make sure to set MessageBoxOptions.RightAlign and MessageBoxOptions.RtlReading if RightToLeft is set to RightToLeft.Yes on the parent control."
CA1301,Default,Define unique accelerators for the following controls in {0} that all currently use &{1} as an accelerator: {2}.
CA1302,Default,"If the literal '{0}' used in method {1} refers to a special system location, replace it with a call to Environment.GetFolderPath."
CA1302,CameFromDefaultParameterValue,"In method {0}, parameter {1} on called method {2} has a default value of '{3}'. If the supplied default value refers to a special system location, replace it with a call to Environment.GetFolderPath."
CA1302,IsDefaultParameterValue,"If the default value '{0}' of parameter {1} on method {2} refers to a special system location, consider making parameter {1} a required parameter with no default value. Special system locations should be retrieved using an API such as Environment.GetFolderPath."
CA1304,Default,"Because the behavior of {0} could vary based on the current user's locale settings, replace this call in {1} with a call to {2}. If the result of {2} will be displayed to the user, specify 'CultureInfo.CurrentCulture' as the 'CultureInfo' parameter. Otherwise, if the result will be stored and accessed by software, such as when it is persisted to disk or to a database, specify 'CultureInfo.InvariantCulture'."
CA1305,IFormatProviderAlternateString,"Because the behavior of {0} could vary based on the current user's locale settings, replace this call in {1} with a call to {2}. If the result of {2} will be displayed to the user, specify {3} as the 'IFormatProvider' parameter. Otherwise, if the result will be stored and accessed by software, such as when it is persisted to disk or to a database, specify {4}."
CA1305,IFormatProviderAlternate,"Because the behavior of {0} could vary based on the current user's locale settings, replace this call in {1} with a call to {2}. If the result of {2} will be based on input from the user, specify {3} as the 'IFormatProvider' parameter. Otherwise, if the result will based on input stored and accessed by software, such as when it is loaded from disk or from a database, specify {4}."
CA1305,UICultureString,"{0} passes {1} as the 'IFormatProvider' parameter to {2}. This property returns a culture that is inappropriate for formatting methods. If the result of {2} will be displayed to the user, specify {3} as the 'IFormatProvider' parameter. Otherwise, if the result will be stored and accessed by software, such as when it is persisted to disk or to a database, specify {4}."
CA1305,UICulture,"{0} passes {1} as the 'IFormatProvider' parameter to {2}. This property returns a culture that is inappropriate for formatting methods. If the result of {2} will be based on input from the user, specify {3} as the 'IFormatProvider' parameter. Otherwise, if the result will based on input stored and accessed by software, such as when it is loaded from disk or from a database, specify {4}."
CA1306,Default,Be sure to set the {0} Locale property wherever {1} creates an instance of that type.
CA2101,Parameter,"To reduce security risk, marshal parameter {0} as Unicode, by setting DllImport.CharSet to CharSet.Unicode, or by explicitly marshaling the parameter as UnmanagedType.LPWStr. If you need to marshal this string as ANSI or system-dependent, set BestFitMapping=false; for added security, also set ThrowOnUnmappableChar=true."
CA2101,Field,"To reduce security risk, marshal field {0} as Unicode, by setting StructLayout.CharSet on {1} to CharSet.Unicode, or by explicitly marshaling the field as UnmanagedType.LPWStr. If you need to marshal this string as ANSI or system-dependent, use the BestFitMapping attribute to turn best-fit mapping off, and for added security, ensure ThrowOnUnmappableChar is on."
CA2101,ParameterImplicitAnsi,"To reduce security risk, marshal parameter {0} as Unicode, by setting DllImport.CharSet to CharSet.Unicode, or by explicitly marshaling the parameter as UnmanagedType.LPWStr. If you need to marshal this string as ANSI or system-dependent, specify MarshalAs explicitly, and set BestFitMapping=false; for added security, also set ThrowOnUnmappableChar=true."
CA2101,FieldImplicitAnsi,"To reduce security risk, marshal field {0} as Unicode, by setting StructLayout.CharSet on {1} to CharSet.Unicode, or by explicitly marshaling the field as UnmanagedType.LPWStr. If you need to marshal this string as ANSI or system-dependent, specify MarshalAs explicitly, use the BestFitMapping attribute to turn best-fit mapping off, and for added security, to turn ThrowOnUnmappableChar on."
CA1307,Default,"Because the behavior of {0} could vary based on the current user's locale settings, replace this call in {1} with a call to {2}. If the result of {2} will be displayed to the user, such as when sorting a list of items for display in a list box, specify 'StringComparison.CurrentCulture' or 'StringComparison.CurrentCultureIgnoreCase' as the 'StringComparison' parameter. If comparing case-insensitive identifiers, such as file paths, environment variables, or registry keys and values, specify 'StringComparison.OrdinalIgnoreCase'. Otherwise, if comparing case-sensitive identifiers, specify 'StringComparison.Ordinal'."
CA1308,ToUpperInvariant,"In method {0}, replace the call to {1} with String.ToUpperInvariant()."
CA1308,ToUpper,"In method {0}, replace the call to String.ToLower(CultureInfo.InvariantCulture) with String.ToUpper(CultureInfo.InvariantCulture)."
CA1309,StringComparison,"{0} passes '{1}' as the 'StringComparison' parameter to {2}. To perform a non-linguistic comparison, specify 'StringComparison.Ordinal' or 'StringComparison.OrdinalIgnoreCase' instead."
CA1309,StringComparer,"{0} passes '{1}' as the 'StringComparer' parameter to {2}. To perform a non-linguistic comparison, specify 'StringComparer.Ordinal' or 'StringComparer.OrdinalIgnoreCase' instead."
CA1400,Default,Correct the declaration of {0} so that it correctly points to an existing entry point in {1}. The unmanaged entry point name currently linked to is {2}.
CA1401,Default,Change the accessibility of P/Invoke {0} so that it is no longer visible from outside its assembly.
CA1402,Default,ComVisible(true) interface {0} defines overloaded methods. Give each method a unique name or make the type ComVisible(false).
CA1403,Default,Type {0} is both ComVisible(true) and set to Auto layout. Make this type ComVisible(false) or specify Explicit or Sequential layout.
CA1404,Default,Method {0} called GetLastWin32Error but the immediately preceding call to {1} is not a P/Invoke statement. Move the call to GetLastWin32Error so that it immediately follows the relevant platform invoke call.
CA1405,Default,{0} is marked ComVisible(true) but has the following ComVisible(false) types in its object hierarchy: {1}
CA1406,Default,Member {0} has one or more parameters of type Int64 that cannot be used from Visual Basic 6 clients.
CA1407,Default,Consider whether the absence of {0} adversely impacts functionality for COM clients.
CA1408,Default,"Type {0} uses ClassInterfaceAttribute(ClassInterfaceType.AutoDual) which might not version properly. Instead, define and implement the interface and mark the class using ClassInterfaceType.None."
CA1409,Default,Provide a public default constructor for {0} if it should be COM-creatable or mark the type as ComVisible(false).
CA1410,UnmatchedRegistration,"{0} is marked with the ComRegisterFunction attribute, but a corresponding unregistration function cannot be located in the type."
CA1410,UnmatchedUnregistration,"{0} is marked with the ComUnregisterFunction attribute, but a corresponding registration function cannot be located in the type."
CA1411,Default,"Change the accessibility of {0}, a COM registration function, to private."
CA1412,Default,Mark interface {0} as InterfaceType(ComInterfaceType.InterfaceIsIDispatch) because it is specified in the ComSourceInterfaces attribute applied to types defined in {1}.
CA1413,Default,Type {0} has non-public field {1} that is exposed to COM clients.
CA1414,Default,"Add the MarshalAsAttribute to parameter {0} of P/Invoke {1}. If the corresponding unmanaged parameter is a 4-byte Win32 'BOOL', use [MarshalAs(UnmanagedType.Bool)]. For a 1-byte C++ 'bool', use MarshalAs(UnmanagedType.U1)."
CA1414,Return,"Add the MarshalAsAttribute to the return type of P/Invoke {0}. If the corresponding unmanaged return type is a 4-byte Win32 'BOOL', use MarshalAs(UnmanagedType.Bool). For a 1-byte C++ 'bool', use MarshalAs(UnmanagedType.U1)."
CA1415,NativeOverlapped,Change the declaration of {0} so that parameter {1} is a pointer to System.Threading.NativeOverlapped.
CA1500,Local,"{0}, a variable declared in {1}, has the same name as an instance field on the type. Change the name of one of these items."
CA1500,Parameter,"{0}, a parameter declared in {1}, has the same name as an instance field on the type. Change the name of one of these items."
CA1501,Default,"{0} has an object hierarchy {1} levels deep within the defining module. If possible, eliminate base classes within the hierarchy: {2}"
CA1502,Default,{0} has a cyclomatic complexity of {1}. Rewrite or refactor the method to reduce complexity to {2}.
CA1504,Static,"The field name {0} suggests that it is instance data but it is declared as static (Shared in Visual Basic). Review this member to verify that it should be static, or consider changing the field name."
CA1504,Instance,"The field name {0} suggests that it is static (Shared in Visual Basic) data but it is declared as an instance member. Review this member to verify that it should be instance, or consider changing the field name."
CA1505,Method,"{0} has a maintainability index of {1}. Rewrite or refactor the method to increase its maintainability index (MI). An MI below {2} indicates poor maintainability, an MI between {2} and {3} indicates moderate maintainability, and an MI above {3} indicates good maintainability."
CA1505,Type,"{0} has a maintainability index of {1}. Rewrite or refactor the type's methods to increase its maintainability index (MI). An MI below {2} indicates poor maintainability, an MI between {2} and {3} indicates moderate maintainability, and an MI above {3} indicates good maintainability."
CA1506,Method,"{0} is coupled with {1} different types from {2} different namespaces. Rewrite or refactor the method to decrease its class coupling, or consider moving the method to one of the other types it is tightly coupled with. A class coupling above {3} indicates poor maintainability, a class coupling between {3} and {4} indicates moderate maintainability, and a class coupling below {4} indicates good maintainability."
CA1506,Type,"{0} is coupled with {1} different types from {2} different namespaces. Rewrite or refactor this class's methods to decrease its class coupling, or consider moving some of the class's methods to some of the other types it is tightly coupled with. A class coupling above {3} indicates poor maintainability, a class coupling between {3} and {4} indicates moderate maintainability, and a class coupling below {4} indicates good maintainability."
CA1506,UIMethod,"{0} is coupled with {1} different (non-IComponent) types from {2} different namespaces. Rewrite or refactor the method to decrease its class coupling, or consider moving the method to one of the other types it is tightly coupled with. A class coupling above {3} indicates poor maintainability, a class coupling between {3} and {4} indicates moderate maintainability, and a class coupling below {4} indicates good maintainability."
CA1506,UIType,"{0} is coupled with {1} different (non-IComponent) types from {2} different namespaces. Rewrite or refactor this class's methods to decrease its class coupling, or consider moving some of the class's methods to some of the other types it is tightly coupled with. A class coupling above {3} indicates poor maintainability, a class coupling between {3} and {4} indicates moderate maintainability, and a class coupling below {4} indicates good maintainability."
CA1600,Default,Modify method {0} to set Process.PriorityClass to something other than ProcessPriorityClass.Idle.
CA1601,Default,Modify the call to {0} in method {1} to set the timer interval to a value that's greater than or equal to one second.
CA900,Default,'{0}' must be reviewed in order to be marked with AllowPartiallyTrustedCallers. Please send an e-mail to 'aptca' in order to set up a meeting for review. See http://team/sites/APTCA for more information.
CA901,Default,{0} must be reviewed in order to be marked APTCA. Please send an e-mail to 'aptca' in order to set up a meeting for review.
CA901,LowPriority,"{0} must be reviewed in order to be marked APTCA. Please send an e-mail to 'aptca' in order to set up a meeting for review. This violation is a lower priority as the type is an enum, delegate, or interface."
CA903,Default,"As {0} is defined in an internal namespace, change its accessibility to internal or move it to either the Microsoft or System namespaces."
CA904,Default,Redefine the types in namespace '{0}' in the Microsoft or System namespace. Public types that will never ship externally can be defined in the MS namespace. Consider disabling this rule when analyzing code that does not ship externally.
CA904,WinRT,Redefine the windows runtime types in namespace '{0}' in the Windows namespace. Consider disabling this rule when analyzing code that does not ship externally.
CA905,Default,All namespaces under the 'System' namespace need to be approved by the .NET Framework team. Namespace '{0}' has not been approved. See http://fxreviews for info on getting this namespace approved. See http://fxcop/docs/rules.aspx?url=/MSInternal/SystemNamespacesRequireApproval.html for information on how to stop this rule from firing after the namespace has been approved.
CA908,Signature,Replace the generic type {0} exposed by {1} with a type that does not require JIT compilation at runtime for precompiled assemblies. If this is not an precompiled assembly this message should be suppressed or this rule should be disabled.
CA908,Implementation,Replace the generic type {0} in the implementation of method {1} with a type that does not require JIT compilation at runtime for precompiled assemblies. If this is not an precompiled assembly this message should be suppressed or this rule should be disabled.
CA908,Method,Replace the generic method {0} called in {1} with a generic method that does not require JIT compilation at runtime for precompiled assemblies. If this is not an precompiled assembly this message should be suppressed or this rule should be disabled.
CA911,Default,Windows runtime type name '{0}' consists of a single term and is not contained in the list of approved single-word type names. Contact KCwalina to get this name approved or changed.
CA2153,Default,Modify {0} to catch and handle a more specific set of exception type(s) than {1} or rethrow the exception. Code that receives and intends to handle corrupted state exceptions should author distinct handlers for each exception type.
CA1700,Default,"If {0} is not used in the current implementation, remove it. Otherwise give it a meaningful name."
CA1701,StringResourceShouldBeDiscreteTerm,"In resource {0}, referenced by name '{1}', the compound word '{2}' in string value '{3}' exists as a discrete term. If your usage is intended to be single word, case it as '{4}'."
CA1701,StringResourceShouldBeCompoundWord,"In resource {0}, referenced by name '{1}' the discrete term '{2}' in string value '{3}' should be expressed as a compound word. If '{2}' refers to an API identifier, case it as '{4}', otherwise split it into two words separated by a space."
CA1701,XmlResourceShouldBeDiscreteTerm,"In resource {0}, in XML element '{1}', the compound word '{2}' in '{3}' exists as a discrete term. If your usage is intended to be single word, case it as '{4}'."
CA1701,XmlResourceShouldBeCompoundWord,"In resource {0}, in XML element '{1}', the discrete term '{2}' in '{3}' should be expressed as a compound word. If '{2}' refers to an API identifier, case it as '{4}', otherwise split it into two words separated by a space."
CA1701,ComponentResourceShouldBeDiscreteTerm,"In component {0}, on '{1}', the compound word '{2}' in '{3}' exists as a discrete term. If your usage is intended to be single word, case it as '{4}'."
CA1701,ComponentResourceShouldBeCompoundWord,"In component {0}, on '{1}', the discrete term '{2}' in '{3}' should be expressed as a compound word. If '{2}' refers to an API identifier, case it as '{4}', otherwise split it into two words separated by a space."
CA1702,AssemblyShouldBeDiscreteTerm,"The compound word '{0}' in assembly name {1} exists as a discrete term. If your usage is intended to be single word, case it as '{2}'."
CA1702,NamespaceShouldBeDiscreteTerm,"The compound word '{0}' in namespace name '{1}' exists as a discrete term. If your usage is intended to be single word, case it as '{2}'."
CA1702,MemberParameterShouldBeDiscreteTerm,"In member {0}, the compound word '{1}' in parameter name {2} exists as a discrete term. If your usage is intended to be single word, case it as '{3}' or strip the first token entirely if it represents any sort of Hungarian notation."
CA1702,DelegateParameterShouldBeDiscreteTerm,"In delegate {0}, the compound word '{1}' in parameter name {2} exists as a discrete term. If your usage is intended to be single word, case it as '{3}' or strip the first token entirely if it represents any sort of Hungarian notation."
CA1702,MethodTypeParameterShouldBeDiscreteTerm,"On method {0}, the compound word '{1}' in generic type parameter name {2} exists as a discrete term. If your usage is intended to be single word, case it as '{3}'."
CA1702,TypeTypeParameterShouldBeDiscreteTerm,"On type {0}, the compound word '{1}' in generic type parameter name {2} exists as a discrete term. If your usage is intended to be single word, case it as '{3}'."
CA1702,TypeShouldBeDiscreteTerm,"The compound word '{0}' in type name {1} exists as a discrete term. If your usage is intended to be single word, case it as '{2}'."
CA1702,MemberShouldBeDiscreteTerm,"The compound word '{0}' in member name {1} exists as a discrete term. If your usage is intended to be single word, case it as '{2}' or strip the first token entirely if it represents any sort of Hungarian notation."
CA1702,AssemblyShouldBeCompoundWord,"The discrete term '{0}' in assembly name {1} should be expressed as a compound word, '{2}'."
CA1702,NamespaceShouldBeCompoundWord,"The discrete term '{0}' in namespace name '{1}' should be expressed as a compound word, '{2}'."
CA1702,MemberParameterShouldBeCompoundWord,"In member {0}, the discrete term '{1}' in parameter name {2} should be expressed as a compound word, '{3}'."
CA1702,DelegateParameterShouldBeCompoundWord,"In delegate {0}, the discrete term '{1}' in parameter name {2} should be expressed as a compound word, '{3}'."
CA1702,MethodTypeParameterShouldBeCompoundWord,"On method {0}, the discrete term '{1}' in generic type parameter name {2} should be expressed as a compound word, '{3}'."
CA1702,TypeTypeParameterShouldBeCompoundWord,"On type {0}, the discrete term '{1}' in generic type parameter name {2} should be expressed as a compound word, '{3}'."
CA1702,TypeShouldBeCompoundWord,"The discrete term '{0}' in type name {1} should be expressed as a compound word, '{2}'."
CA1702,MemberShouldBeCompoundWord,"The discrete term '{0}' in member name {1} should be expressed as a compound word, '{2}'."
CA1703,StringResource,"In resource {0}, referenced by name '{1}', correct the spelling of '{2}' in string value '{3}'."
CA1703,XmlResource,"In resource {0}, in XML element '{1}', correct the spelling of '{2}' in '{3}'."
CA1703,ComponentResource,"In component {0}, on '{1}', correct the spelling of '{2}' in '{3}'."
CA1704,Assembly,Correct the spelling of '{0}' in assembly name {1}.
CA1704,Namespace,Correct the spelling of '{0}' in namespace name '{1}'.
CA1704,Type,Correct the spelling of '{0}' in type name {1}.
CA1704,Member,Correct the spelling of '{0}' in member name {1} or remove it entirely if it represents any sort of Hungarian notation.
CA1704,MemberParameter,"In method {0}, correct the spelling of '{1}' in parameter name {2} or remove it entirely if it represents any sort of Hungarian notation."
CA1704,DelegateParameter,"In delegate {0}, correct the spelling of '{1}' in parameter name {2} or remove it entirely if it represents any sort of Hungarian notation."
CA1704,TypeTypeParameter,"On type {0}, correct the spelling of '{1}' in generic type parameter name {2}."
CA1704,MethodTypeParameter,"On method {0}, correct the spelling of '{1}' in generic type parameter name {2}."
CA1704,AssemblyMoreMeaningfulName,Consider providing a more meaningful name than assembly name {0}.
CA1704,NamespaceMoreMeaningfulName,Consider providing a more meaningful name than namespace name '{0}'.
CA1704,TypeMoreMeaningfulName,Consider providing a more meaningful name than type name {0}.
CA1704,MemberMoreMeaningfulName,Consider providing a more meaningful name than member name {0}.
CA1704,MemberParameterMoreMeaningfulName,"In method {0}, consider providing a more meaningful name than parameter name {1}."
CA1704,DelegateParameterMoreMeaningfulName,"In delegate {0}, consider providing a more meaningful name than parameter name {1}."
CA1704,TypeTypeParameterMoreMeaningfulName,"On type {0}, consider providing a more meaningful name than generic type parameter name {1}."
CA1704,MethodTypeParameterMoreMeaningfulName,"On method {0}, consider providing a more meaningful name than generic type parameter name {1}."
CA1707,Assembly,Remove the underscores from assembly name {0}.
CA1707,Namespace,Remove the underscores from namespace name '{0}'.
CA1707,Type,Remove the underscores from type name {0}.
CA1707,Member,Remove the underscores from member name {0}.
CA1707,TypeTypeParameter,"On type {0}, remove the underscores from generic type parameter name {1}."
CA1707,MethodTypeParameter,"On method {0}, remove the underscores from generic type parameter name {1}."
CA1707,MemberParameter,"In member {0}, remove the underscores from parameter name {1}."
CA1707,DelegateParameter,"In delegate {0}, remove the underscores from parameter name {1}."
CA1708,Member,Change member names {0} and '{1}' so that they differ by more than case.
CA1708,Type,Change type names {0} and '{1}' so that they differ by more than case.
CA1708,Namespace,Change namespace names {0} and '{1}' so that they differ by more than case.
CA1708,Parameter,Change parameter names {0} and '{1}' so that they differ by more than case.
CA1709,Assembly,Correct the casing of '{0}' in assembly name {1} by changing it to '{2}'.
CA1709,Namespace,Correct the casing of '{0}' in namespace name '{1}' by changing it to '{2}'.
CA1709,Type,Correct the casing of '{0}' in type name {1} by changing it to '{2}'.
CA1709,Member,Correct the casing of '{0}' in member name {1} by changing it to '{2}'.
CA1709,MemberParameter,"In member {0}, correct the casing of '{1}' in parameter name {2} by changing it to '{3}'."
CA1709,DelegateParameter,"In delegate {0}, correct the casing of '{1}' in parameter name {2} by changing it to '{3}'."
CA1709,TypeTypeParameter,"On type {0}, correct the casing of '{1}' in generic type parameter name {2} by changing it to '{3}'."
CA1709,MethodTypeParameter,"On method {0}, correct the casing of '{1}' in generic type parameter name {2} by changing it to '{3}'."
CA1709,AssemblyAbbreviation,Correct the casing of '{0}' in assembly name {1} by changing it to '{2}'. '{2}' is an abbreviation and therefore is not subject to acronym casing guidelines.
CA1709,NamespaceAbbreviation,Correct the casing of '{0}' in namespace name '{1}' by changing it to '{2}'. '{2}' is an abbreviation and therefore is not subject to acronym casing guidelines.
